Anser anser_Graylag Goose
Cairina moschata_Muscovy Duck
Spatula discors_Blue-winged Teal
Anas andium_Andean Teal
Nomonyx dominicus_Masked Duck
Oxyura jamaicensis_Ruddy Duck
Oxyura ferruginea_Andean Duck
Penelope montagnii_Andean Guan
Colinus cristatus_Crested Bobwhite
Tachybaptus dominicus_Least Grebe
Podilymbus podiceps_Pied-billed Grebe
Columba livia_Rock Pigeon
Patagioenas fasciata_Band-tailed Pigeon
Columbina talpacoti_Ruddy Ground Dove
Zenaida auriculata_Eared Dove
Crotophaga major_Greater Ani
Crotophaga ani_Smooth-billed Ani
Coccycua pumila_Dwarf Cuckoo
Piaya cayana_Squirrel Cuckoo
Coccyzus melacoryphus_Dark-billed Cuckoo
Coccyzus americanus_Yellow-billed Cuckoo
Coccyzus erythropthalmus_Black-billed Cuckoo
Chordeiles acutipennis_Lesser Nighthawk
Chordeiles minor_Common Nighthawk
Systellura longirostris_Band-winged Nightjar
Streptoprocne rutila_Chestnut-collared Swift
Streptoprocne zonaris_White-collared Swift
Chaetura cinereiventris_Gray-rumped Swift
Chaetura pelagica_Chimney Swift
Chaetura brachyura_Short-tailed Swift
Colibri coruscans_Sparkling Violetear
Colibri delphinae_Brown Violetear
Colibri cyanotus_Lesser Violetear
Heliangelus exortis_Tourmaline Sunangel
Adelomyia melanogenys_Speckled Hummingbird
Lesbia victoriae_Black-tailed Trainbearer
Lesbia nuna_Green-tailed Trainbearer
Metallura tyrianthina_Tyrian Metaltail
Eriocnemis vestita_Glowing Puffleg
Coeligena bonapartei_Golden-bellied Starfrontlet
Lafresnaya lafresnayi_Mountain Velvetbreast
Ensifera ensifera_Sword-billed Hummingbird
Ocreatus underwoodii_White-booted Racket-tail
Chaetocercus mulsant_White-bellied Woodstar
Chlorostilbon gibsoni_Red-billed Emerald
Chlorostilbon poortmani_Short-tailed Emerald
Porphyriops melanops_Spot-flanked Gallinule
Gallinula galeata_Common Gallinule
Fulica americana_American Coot
Porphyrio martinica_Purple Gallinule
Heliornis fulica_Sungrebe
Pluvialis dominica_American Golden-Plover
Vanellus chilensis_Southern Lapwing
Charadrius vociferus_Killdeer
Jacana jacana_Wattled Jacana
Bartramia longicauda_Upland Sandpiper
Calidris minutilla_Least Sandpiper
Calidris melanotos_Pectoral Sandpiper
Gallinago jamesoni_Jameson's Snipe
Gallinago nobilis_Noble Snipe
Actitis macularius_Spotted Sandpiper
Tringa solitaria_Solitary Sandpiper
Tringa melanoleuca_Greater Yellowlegs
Tringa flavipes_Lesser Yellowlegs
