"","speciesCode","sciName","comName","scientificNameStd"
"1","bbwduc","Dendrocygna autumnalis","Black-bellied Whistling-Duck","Dendrocygna autumnalis"
"2","crebob1","Colinus cristatus","Crested Bobwhite","Colinus cristatus"
"3","rocpig","Columba livia","Rock Pigeon","Columba livia"
"4","cogdov","Columbina passerina","Common Ground Dove","Columbina passerina"
"5","pbgdov1","Columbina minuta","Plain-breasted Ground Dove","Columbina minuta"
"6","rugdov","Columbina talpacoti","Ruddy Ground Dove","Columbina talpacoti"
"7","blgdov1","Claravis pretiosa","Blue Ground Dove","Claravis pretiosa"
"8","whtdov","Leptotila verreauxi","White-tipped Dove","Leptotila verreauxi"
"9","whwdov","Zenaida asiatica","White-winged Dove","Zenaida asiatica"
"10","smbani","Crotophaga ani","Smooth-billed Ani","Crotophaga ani"
"11","grbani","Crotophaga sulcirostris","Groove-billed Ani","Crotophaga sulcirostris"
"12","lesnig","Chordeiles acutipennis","Lesser Nighthawk","Chordeiles acutipennis"
"13","vihhum1","Klais guimeti","Violet-headed Hummingbird","Klais guimeti"
"14","bknsti","Himantopus mexicanus","Black-necked Stilt","Himantopus mexicanus"
"15","ameoys","Haematopus palliatus","American Oystercatcher","Haematopus palliatus"
"16","bkbplo","Pluvialis squatarola","Black-bellied Plover","Pluvialis squatarola"
"17","wilplo","Charadrius wilsonia","Wilson's Plover","Charadrius wilsonia"
"18","semplo","Charadrius semipalmatus","Semipalmated Plover","Charadrius semipalmatus"
"19","whimbr","Numenius phaeopus","Whimbrel","Numenius phaeopus"
"20","rudtur","Arenaria interpres","Ruddy Turnstone","Arenaria interpres"
"21","semsan","Calidris pusilla","Semipalmated Sandpiper","Calidris pusilla"
"22","wessan","Calidris mauri","Western Sandpiper","Calidris mauri"
"23","shbdow","Limnodromus griseus","Short-billed Dowitcher","Limnodromus griseus"
"24","sposan","Actitis macularius","Spotted Sandpiper","Actitis macularius"
"25","greyel","Tringa melanoleuca","Greater Yellowlegs","Tringa melanoleuca"
"26","willet1","Tringa semipalmata","Willet","Tringa semipalmata"
"27","lesyel","Tringa flavipes","Lesser Yellowlegs","Tringa flavipes"
"28","laugul","Leucophaeus atricilla","Laughing Gull","Leucophaeus atricilla"
"29","gubter1","Gelochelidon nilotica","Gull-billed Tern","Gelochelidon nilotica"
"30","caster1","Hydroprogne caspia","Caspian Tern","Hydroprogne caspia"
"31","blkter","Chlidonias niger","Black Tern","Chlidonias niger"
"32","royter1","Thalasseus maximus","Royal Tern","Thalasseus maximus"
"33","blkski","Rynchops niger","Black Skimmer","Rynchops niger"
"34","woosto","Mycteria americana","Wood Stork","Mycteria americana"
"35","magfri","Fregata magnificens","Magnificent Frigatebird","Fregata magnificens"
"36","brnpel","Pelecanus occidentalis","Brown Pelican","Pelecanus occidentalis"
"37","grbher3","Ardea herodias","Great Blue Heron","Ardea herodias"
"38","greegr","Ardea alba","Great Egret","Ardea alba"
"39","snoegr","Egretta thula","Snowy Egret","Egretta thula"
"40","libher","Egretta caerulea","Little Blue Heron","Egretta caerulea"
"41","triher","Egretta tricolor","Tricolored Heron","Egretta tricolor"
"42","grnher","Butorides virescens","Green Heron","Butorides virescens"
"43","whiibi","Eudocimus albus","White Ibis","Eudocimus albus"
"44","rosspo1","Platalea ajaja","Roseate Spoonbill","Platalea ajaja"
"45","blkvul","Coragyps atratus","Black Vulture","Coragyps atratus"
"46","turvul","Cathartes aura","Turkey Vulture","Cathartes aura"
"47","osprey","Pandion haliaetus","Osprey","Pandion haliaetus"
"48","peakit1","Gampsonyx swainsonii","Pearl Kite","Gampsonyx swainsonii"
"49","whtkit","Elanus leucurus","White-tailed Kite","Elanus leucurus"
"50","plukit1","Ictinia plumbea","Plumbeous Kite","Ictinia plumbea"
"51","shshaw","Accipiter striatus","Sharp-shinned Hawk","Accipiter striatus"
"52","comblh1","Buteogallus anthracinus","Common Black Hawk","Buteogallus anthracinus"
"53","swahaw","Buteo swainsoni","Swainson's Hawk","Buteo swainsoni"
"54","zothaw","Buteo albonotatus","Zone-tailed Hawk","Buteo albonotatus"
"55","fepowl","Glaucidium brasilianum","Ferruginous Pygmy-Owl","Glaucidium brasilianum"
"56","rinkin1","Megaceryle torquata","Ringed Kingfisher","Megaceryle torquata"
"57","recwoo1","Melanerpes rubricapillus","Red-crowned Woodpecker","Melanerpes rubricapillus"
"58","amekes","Falco sparverius","American Kestrel","Falco sparverius"
"59","aplfal","Falco femoralis","Aplomado Falcon","Falco femoralis"
"60","batfal1","Falco rufigularis","Bat Falcon","Falco rufigularis"
"61","orcpar","Brotogeris jugularis","Orange-chinned Parakeet","Brotogeris jugularis"
"62","ywcpar","Amazona ochrocephala","Yellow-crowned Parrot","Amazona ochrocephala"
"63","stbwoo2","Dendroplex picus","Straight-billed Woodcreeper","Dendroplex picus"
"64","olsfly","Contopus cooperi","Olive-sided Flycatcher","Contopus cooperi"
"65","eawpew","Contopus virens","Eastern Wood-Pewee","Contopus virens"
"66","grcfly","Myiarchus crinitus","Great Crested Flycatcher","Myiarchus crinitus"
"67","grekis","Pitangus sulphuratus","Great Kiskadee","Pitangus sulphuratus"
"68","bobfly1","Megarynchus pitangua","Boat-billed Flycatcher","Megarynchus pitangua"
"69","trokin","Tyrannus melancholicus","Tropical Kingbird","Tyrannus melancholicus"
"70","fotfly","Tyrannus savana","Fork-tailed Flycatcher","Tyrannus savana"
"71","manswa1","Tachycineta albilinea","Mangrove Swallow","Tachycineta albilinea"
"72","houwre","Troglodytes aedon","House Wren","Troglodytes aedon"
"73","tromoc","Mimus gilvus","Tropical Mockingbird","Mimus gilvus"
