"","SpecID","PassNonPass","Order","Family","BLFamilyEnglish","BLFamSequID","Taxo","Genus","Species","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","Full.Reference","scientificNameStd","speciesCode","sciName","comName"
"5",657,"Nonpasseriformes","Anseriformes","Anatidae","Ducks, geese and swans",14,"BL3","Cairina","moschata","Muscovy Duck",30,0,10,10,0,0,0,0,20,30,"Omnivore","Ref_1","A","Jennifer",0,50,50,0,0,0,0,0,"Ref_1",1,"Other",0,2415.78,"Dunning08",1,"","","Handbook of the Birds of the World vol. 1.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Cairina moschata","musduc","Cairina moschata","Muscovy Duck"
"53",3752,"Nonpasseriformes","Gruiformes","Aramidae","Limpkin",46,"BL3","Aramus","guarauna","Limpkin",50,0,20,0,30,0,0,0,0,0,"Omnivore","Ref_3","A","Carolina",0,50,50,0,0,0,0,0,"Ref_3",1,"Morgane",0,1080,"Dunning08",1,"","","Handbook of the Birds of the World vol.3.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Aramus guarauna","limpki","Aramus guarauna","Limpkin"
"98",4562,"Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Pandion","haliaetus","Osprey",0,0,0,100,0,0,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",40,60,0,0,0,0,0,0,"Ref_2",1,"Morgane; Walter",0,1483.2,"Dunning08",1,"","","Handbook of the Birds of the World vol.2.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Pandion haliaetus","osprey","Pandion haliaetus","Osprey"
"109",4798,"Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Buteogallus","urubitinga","Great Black-hawk",20,20,30,10,0,10,10,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,40,10,10,40,0,0,"Ref_2",1,"Other",0,1152.87,"Dunning08",1,"","","Handbook of the Birds of the World vol.2.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Buteogallus urubitinga","grbhaw1","Buteogallus urubitinga","Great Black Hawk"
"117",4824,"Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Buteo","jamaicensis","Red-tailed Hawk",10,60,30,0,0,0,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,0,0,33,33,33,0,"Ref_2",1,"Jessica",0,1101.16,"Dunning08",1,"","","Handbook of the Birds of the World vol.2.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Buteo jamaicensis","rethaw","Buteo jamaicensis","Red-tailed Hawk"
"118",4891,"Nonpasseriformes","Accipitriformes","Accipitridae","Osprey, kites, hawks and eagles",36,"BL3","Spizaetus","tyrannus","Black Hawk-eagle",0,60,40,0,0,0,0,0,0,0,"VertFishScav","Ref_2","A","Jennifer",0,0,20,20,30,20,10,0,"Ref_2",1,"Other",0,1007.11,"Dunning08",1,"","","Handbook of the Birds of the World vol.2.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Spizaetus tyrannus","blheag1","Spizaetus tyrannus","Black Hawk-Eagle"
"126",5069,"Nonpasseriformes","Suliformes","Anhingidae","Anhingas",33,"BL3","Anhinga","anhinga","Anhinga",20,0,20,60,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",100,0,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,1235,"Dunning08",1,"","","Handbook of the Birds of the World vol. 1.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Anhinga anhinga","anhing","Anhinga anhinga","Anhinga"
"127",5150,"Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Tigrisoma","mexicanum","Bare-throated Tiger-heron",30,0,30,40,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",0,80,20,0,0,0,0,0,"Ref_1",1,"Jessica",0,1154.38,"Dunning08",1,"","","Handbook of the Birds of the World vol. 1.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Tigrisoma mexicanum","btther1","Tigrisoma mexicanum","Bare-throated Tiger-Heron"
"136",5213,"Nonpasseriformes","Pelecaniformes","Ardeidae","Herons and egrets",25,"BL3","Ardea","herodias","Great Blue Heron",30,10,10,50,0,0,0,0,0,0,"VertFishScav","Ref_1","A","Jennifer",0,60,40,0,0,0,0,0,"Ref_1",1,"Other",0,2523.41,"Dunning08",1,"","","Handbook of the Birds of the World vol. 1.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Ardea herodias","grbher3","Ardea herodias","Great Blue Heron"
"142",5323,"Nonpasseriformes","Pelecaniformes","Threskiornithidae","Ibises and spoonbills",24,"BL3","Platalea","ajaja","Roseate Spoonbill",40,0,0,50,0,0,0,0,0,10,"Omnivore","Ref_1","A","Jennifer",0,100,0,0,0,0,0,0,"Ref_1",1,"Jessica",0,1490,"Dunning08",1,"","","Handbook of the Birds of the World vol. 1.  Del Hoyo J., Elliott A., Sargatal J. & Christie D.A. (1992-2011). Lynx Edicions, Barcelona","Platalea ajaja","rosspo1","Platalea ajaja","Roseate Spoonbill"
