"","SpeciesID","Order","Family","Genus","Species","Taxonomic_Comments","Extinct_full","Extinct_partial","Marine_full","Marine_partial","Migr_dir_full","Migr_dir_partial","Migr_dir_local","Migr_disp_full","Migr_disp_partial","Migr_disp_local","Migr_altitudinal","Irruptive","Nomad_full","Nomad_partial","Nomad_local","Resid_full","Resid_partial","Unknown","Uncertain","Migratory_status_Comments","Triplechecked","Migratory_status","Migratory_status_2","Migratory_status_3","scientificNameStd","speciesCode","sciName","comName"
"3",365,"ANSERIFORMES","Anatidae","Dendrocygna","autumnalis","",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"partially migratory, especially in N, otherwise largely sedentary with some local movements",1,"directional migratory","partial directional migrant","partial directional migrant","Dendrocygna autumnalis","bbwduc","Dendrocygna autumnalis","Black-bellied Whistling-Duck"
"6",501,"ANSERIFORMES","Anatidae","Aythya","collaris","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"migratory but breeding and non-breeding ranges overlap",1,"directional migratory","full directional migrant","full directional migrant","Aythya collaris","rinduc","Aythya collaris","Ring-necked Duck"
"8",730,"CICONIIFORMES","Ciconiidae","Mycteria","americana","",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"post-breeding dispersal in N of range, migration from N to S America, non-breeders wander widely",1,"directional migratory","partial directional migrant","partial directional migrant","Mycteria americana","woosto","Mycteria americana","Wood Stork"
"10",774,"PELECANIFORMES","Threskiornithidae","Plegadis","falcinellus","",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,"migratory and dispersive, notoriously nomadic, post-breeding dispersal of adults (and juveniles) occurs in all directions, some popltns increasingly sedentary, others fully migratory, some with erratic local movements",1,"directional migratory","partial directional migrant","partial directional migrant","Plegadis falcinellus","gloibi","Plegadis falcinellus","Glossy Ibis"
"11",783,"PELECANIFORMES","Threskiornithidae","Platalea","ajaja","",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"generally considered sedentary throughout most of range, partially migratory in N, post-breeding dispersal of adults throughout range",1,"directional migratory","partial directional migrant","partial directional migrant","Platalea ajaja","rosspo1","Platalea ajaja","Roseate Spoonbill"
"14",797,"PELECANIFORMES","Ardeidae","Ixobrychus","exilis","",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"N popltns migrate long-distance, S popltns sedentary, widespread post-breeding dispersal",1,"directional migratory","partial directional migrant","partial directional migrant","Ixobrychus exilis","leabit","Ixobrychus exilis","Least Bittern"
"15",810,"PELECANIFORMES","Ardeidae","Nycticorax","nycticorax","",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"N popltns migratory, S popltns sedentary with seasonal dispersive movements, extensive post-breeding dispersal in all directions by virtually all birds",1,"directional migratory","partial directional migrant","partial directional migrant","Nycticorax nycticorax","bcnher","Nycticorax nycticorax","Black-crowned Night-Heron"
"16",816,"PELECANIFORMES","Ardeidae","Nyctanassa","violacea","HBW: Nycticorax_violaceus",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"majority of N popltn migrates, otherwise fairly sedentary, wide-reaching dispersal, extent of migration at S end of range unknown but seasonal absence in austral winter",1,"directional migratory","partial directional migrant","partial directional migrant","Nyctanassa violacea","ycnher","Nyctanassa violacea","Yellow-crowned Night-Heron"
"17",818,"PELECANIFORMES","Ardeidae","Butorides","virescens","in HBW virescens is race of Butorides_striatus",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"S races sedentary, N popltns migratory, post-breeding dispersal (text on striata in HBW)",1,"directional migratory","partial directional migrant","partial directional migrant","Butorides virescens","grnher","Butorides virescens","Green Heron"
"18",820,"PELECANIFORMES","Ardeidae","Butorides","striata","in HBW Butorides_striatus includes races sundevalli and virescens",0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,"most races sedentary, N popltns migratory, some with post-breeding dispersal or local or erratic movements, sometimes leading to irruptions",1,"directional migratory","partial directional migrant","partial directional migrant","Butorides striata","strher","Butorides striata","Striated Heron"
"19",827,"PELECANIFORMES","Ardeidae","Bubulcus","ibis","in HBW Bubulcus_ibis includes race coromandus",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,"partially migratory in most of range, tropical popltns generally sedentary, with extensive post-breeding dispersal and far-reaching dispersive movements in search of favourable feeding conditions, some popltns migratory or nomadic moving with rains; has expanded range naturally in 20th century to include Americas",1,"directional migratory","partial directional migrant","partial directional migrant","Bubulcus ibis","categr","Bubulcus ibis","Cattle Egret"
